,tArea,snArea,b_OLS,b_RD
0,1,1,,-0.040423833
1,2,1,-0.4607067,-0.019082604
2,3,1,-0.90922546,-0.15603094
3,4,1,-0.41409683,-0.19954717
4,5,1,-0.7171364,0.23319076
5,6,1,-0.7914982,-0.36017045
6,7,1,-0.6438694,-0.023260586
7,8,1,-0.78671074,0.48605424
8,10,1,-0.22908974,0.036104735
9,11,1,0.048963547,0.07745222
10,1,2,0.4607067,0.30599928
11,2,2,,0.020100662
12,3,2,-0.44851875,-0.098053835
13,4,2,0.04660988,0.20054157
14,5,2,-0.25642967,0.09444613
15,6,2,-0.33079147,0.20385559
16,7,2,-0.18316269,-0.12501782
17,8,2,-0.32600403,-0.29251045
18,10,2,0.23161697,0.109708056
19,11,2,0.50967026,0.10945116
20,1,3,0.90922546,-0.085693926
21,2,3,0.44851875,-0.17054597
22,3,3,,-0.033153955
23,4,3,0.49512863,0.12730977
24,5,3,0.19208908,-0.03879421
25,6,3,0.11772728,0.18229225
26,7,3,0.26535606,0.24363892
27,8,3,0.122514725,0.8731825
28,10,3,0.6801357,-0.11473665
29,11,3,0.958189,-0.090964966
30,1,4,0.41409683,-0.09651297
31,2,4,-0.04660988,-0.09455524
32,3,4,-0.49512863,0.19059393
33,4,4,,0.010989091
34,5,4,-0.30303955,0.3030693
35,6,4,-0.37740135,-0.31218514
36,7,4,-0.22977257,-0.024890084
37,8,4,-0.3726139,-0.24582082
38,10,4,0.1850071,0.055380844
39,11,4,0.46306038,0.10902946
40,1,5,0.7171364,0.0695425
41,2,5,0.25642967,0.06672694
42,3,5,-0.19208908,0.00822795
43,4,5,0.30303955,-0.43865842
44,5,5,,2.5675718e-05
45,6,5,-0.0743618,0.033866398
46,7,5,0.07326698,0.05010497
47,8,5,-0.069574356,0.100529246
48,10,5,0.48804665,-0.058503594
49,11,5,0.76609993,-0.008190937
50,1,6,0.7914982,0.18842903
51,2,6,0.33079147,-1.041089
52,3,6,-0.11772728,0.80360764
53,4,6,0.37740135,-0.29390448
54,5,6,0.0743618,0.14226538
55,6,6,,0.049815703
56,7,6,0.14762878,0.124029055
57,8,6,0.004787445,0.40220875
58,10,6,0.56240845,0.04338033
59,11,6,0.84046173,0.8287437
60,1,7,0.6438694,0.23597233
61,2,7,0.18316269,0.07685407
62,3,7,-0.26535606,-0.14846623
63,4,7,0.22977257,-0.080040425
64,5,7,-0.07326698,-0.105297886
65,6,7,-0.14762878,0.020561775
66,7,7,,-0.0009556649
67,8,7,-0.14284134,0.16658911
68,10,7,0.41477966,0.08121341
69,11,7,0.69283295,0.055165105
70,1,8,0.78671074,-0.39841968
71,2,8,0.32600403,0.8992982
72,3,8,-0.122514725,0.5102897
73,4,8,0.3726139,0.11514549
74,5,8,0.069574356,0.03807645
75,6,8,-0.004787445,-0.21165937
76,7,8,0.14284134,0.16819529
77,8,8,,-0.061346784
78,10,8,0.557621,-0.074698895
79,11,8,0.8356743,0.48311758
80,1,10,0.22908974,-0.11679642
81,2,10,-0.23161697,-0.1868608
82,3,10,-0.6801357,-0.8498263
83,4,10,-0.1850071,-0.03685845
84,5,10,-0.48804665,0.044619426
85,6,10,-0.56240845,-1.0887007
86,7,10,-0.41477966,-0.23640178
87,8,10,-0.557621,0.18315835
88,10,10,,0.04387265
89,11,10,0.27805328,-0.20673122
90,1,11,-0.048963547,0.0015611156
91,2,11,-0.50967026,0.0043236786
92,3,11,-0.958189,-0.014604937
93,4,11,-0.46306038,0.01290763
94,5,11,-0.76609993,0.009104062
95,6,11,-0.84046173,-0.9186844
96,7,11,-0.69283295,-0.029432217
97,8,11,-0.8356743,-0.2775178
98,10,11,-0.27805328,0.0070204847
99,11,11,,0.015420744
